week,mean_array_015,mean_array_033,mean_array_2,mean_array_h
39,14.102500000000003,14.036799999999998,14.033700000000001,14.087700000000005
40,14.144099999999998,14.083400000000001,14.059099999999999,14.030899999999995
41,14.148200000000005,14.015999999999996,14.050400000000002,14.052699999999998
42,14.155999999999997,14.027300000000002,14.094199999999999,14.086000000000004
43,14.076299999999996,14.0912,14.080599999999997,14.250100000000007
44,14.091800000000005,14.119000000000007,14.065100000000006,14.253400000000005
45,14.0815,14.125,14.059700000000003,14.252299999999996
46,14.111099999999995,14.121900000000004,14.051099999999998,14.283799999999994
47,14.127600000000006,14.099399999999996,14.073600000000004,14.253500000000004
48,14.1274,14.1393,14.0573,14.189599999999993
49,14.165899999999997,14.161399999999992,14.123799999999994,14.213000000000005
50,14.1454,14.135700000000007,14.056999999999995,14.155899999999999
51,14.215499999999997,14.196600000000004,14.011499999999998,14.157299999999994
52,14.160599999999999,14.213500000000002,14.131000000000002,14.129200000000008
53,14.133900000000004,14.152400000000007,14.0933,14.130799999999999
54,14.164799999999996,14.060900000000004,14.097399999999999,14.126400000000006
55,14.127299999999998,14.120999999999997,14.116500000000006,14.1928
56,14.160799999999997,14.053699999999994,14.1374,14.171699999999994
57,14.132400000000004,14.090700000000002,14.182199999999998,14.185799999999995
58,14.148299999999997,14.164799999999998,14.1621,14.146399999999995
59,14.092300000000002,14.170399999999995,14.101800000000004,14.1369
60,14.086899999999996,14.158099999999996,14.1381,14.109099999999994
61,14.095,14.185100000000002,14.15959999999999,14.055299999999997
62,14.076399999999996,14.245400000000002,14.110699999999994,14.136599999999994
63,14.0842,14.156500000000001,14.140899999999997,14.086400000000001
64,14.106600000000004,14.1348,14.112899999999993,14.012700000000002
65,14.108500000000001,14.1939,14.130899999999997,14.049199999999995
66,14.207699999999997,14.202800000000002,14.113399999999999,14.014999999999993
67,14.197699999999996,14.212199999999996,14.0539,14.024500000000007
68,14.187800000000005,14.277899999999999,14.061599999999997,14.058599999999995
69,14.133899999999999,14.172400000000003,14.102000000000006,14.020799999999994
70,14.153799999999997,14.216399999999995,14.133900000000004,14.0401
71,14.160299999999998,14.1537,14.1591,14.08
72,14.07220000000001,14.086999999999996,14.293299999999999,14.058899999999996
73,14.1429,14.127899999999997,14.230099999999998,14.113300000000004
74,14.146099999999999,14.081199999999997,14.0435,14.10710000000001
75,14.130799999999995,14.138599999999999,14.0891,14.112800000000007
76,14.114700000000003,14.102499999999996,14.085800000000004,14.1528
77,14.097399999999988,14.144699999999998,14.095400000000001,14.167599999999998
78,14.021399999999996,14.101600000000001,14.145899999999997,14.093600000000002
79,14.021900000000002,14.050799999999995,14.155300000000002,14.193600000000009
80,14.058000000000002,14.044999999999995,14.099399999999996,14.213099999999999
81,14.061599999999997,14.064299999999994,14.052599999999995,14.156900000000002
82,13.991500000000004,14.128699999999997,13.982499999999998,14.190200000000003
83,14.0135,14.072999999999997,14.029100000000001,14.195600000000002
84,14.084200000000001,14.1206,14.0428,14.186699999999997
85,14.054599999999995,14.193699999999994,14.0647,14.207799999999994
86,14.109200000000001,14.234200000000005,14.053699999999994,14.150799999999998
87,14.195500000000003,14.226999999999997,14.039100000000008,14.1802
88,14.181500000000007,14.287900000000004,14.014700000000003,14.1382
89,14.181700000000003,14.252999999999997,14.030900000000004,14.1039
90,14.227500000000004,14.187700000000007,14.098499999999994,14.111699999999999
91,14.201399999999996,14.206599999999995,14.097199999999994,14.068900000000003
92,14.168599999999996,14.159299999999996,13.982200000000002,14.055100000000003
93,14.112599999999992,14.1586,14.0282,14.140299999999998
94,14.103800000000005,14.185300000000005,14.0941,14.1111
95,14.161500000000006,14.207999999999993,14.097499999999993,14.128600000000008
96,14.1732,14.1686,14.138700000000004,14.070599999999995
97,14.220899999999997,14.1593,14.1327,14.108599999999994
98,14.134799999999995,14.179099999999998,14.134599999999999,14.112700000000004
99,14.187300000000004,14.1455,14.136199999999997,14.081900000000003
100,14.159899999999999,14.119200000000005,14.053700000000003,14.0425
101,14.096299999999994,14.16,14.0557,14.084300000000002
102,14.121500000000001,14.104999999999997,14.053099999999999,14.0898
103,14.154899999999996,14.069499999999998,14.138799999999994,14.058499999999995
