week,row_var_w_tot_015,row_var_w_tot_033,row_var_w_tot_2,row_var_w_tot_h,row_var_fem_w_015,row_var_fem_w_033,row_var_fem_w_2,row_var_fem_w_h,row_var_male_w_015,row_var_male_w_033,row_var_male_w_2,row_var_male_w_h
44,17.80064530453044,17.992807440744073,18.583861746174602,17.985079747974808,9.387343444344422,9.806685628562848,10.22946038603862,10.025102510251031,3.672873197319742,3.877938033803374,4.2169879387938725,4.137446984698464
45,18.346504400440043,17.94069557955795,18.053279637963772,17.877798169816938,9.539102670267047,9.792723182318236,9.911645524552462,10.13303369336934,3.7757458845884626,3.9800620062006127,4.178077557755774,4.1863801980197985
46,18.664681978197848,17.974325072507273,18.062373027302737,18.016587898789894,9.567700770077016,9.91436547654761,10.263263086308614,10.342406400640115,3.8801051205120434,3.9616321632163136,4.129306440644045,4.086316471647167
47,19.146913691369154,18.396061196119582,17.813959145914588,17.61101389138913,9.91146345634564,10.15664445444543,10.101852095209612,10.081002890289037,3.896473557355744,4.0625480148014885,4.122056965696579,4.1391889188918904
48,19.91305994599463,18.58992263226317,17.671398139814,17.99809355935592,10.3898880988099,10.215353845384536,9.99988922892289,10.07341050105009,3.932777987798796,4.1196863586358585,4.1318658265826596,4.23874178417842
49,20.991284888488806,18.670477357735653,17.919522992299243,18.14095240524056,10.732980488048812,10.501598869887003,10.172468406840666,10.432067116711684,4.2353362436243644,4.1522792279228025,4.199602000200011,4.104154415441559
50,20.90698733873388,18.753771767176698,18.157839783978343,18.44864930493047,10.661624472447201,10.299567516751708,10.263097819781946,10.548949934993502,4.233628872887292,4.116857195719575,4.266015711571164,4.172825242524254
51,21.571356885688576,18.699248484848475,17.747245914591534,17.750606060606064,10.964222182218231,10.215792369236922,10.010764236423633,10.197096819682036,4.373159625962589,4.1148721972197215,4.11856424642465,4.113375247524745
52,21.882143574357425,19.01431743174317,17.707600270026983,17.863352895289424,11.045076097609765,10.41578196819681,10.211090619061894,10.18205420542052,4.386332223222336,4.2548282728273135,4.115809620962105,4.169880348034803
53,22.279136353635423,19.10802680268026,18.343883498349815,17.709873027302752,11.375892379237934,10.437590869086913,10.422601260126,10.200765666566694,4.393766086608662,4.227020612061172,4.2321627262726125,4.138161566156615
54,23.04801456145611,19.441996839683977,17.589987788778885,18.21169632963296,11.437814781478162,10.606108770877189,9.953817371737161,10.197970837083666,4.576851245124515,4.254398879888011,4.167695769576936,4.300308390839075
55,22.83572388238822,19.458066996699618,17.74655440544054,17.984491409140908,11.425869626962681,10.632382238223895,10.09342909290929,10.205855945594552,4.566308620862114,4.220658455845564,4.174592459245914,4.2328959295929645
56,23.28099208920891,19.41625153515351,18.136629652965297,18.551613071307123,11.880534893489363,10.601063216321622,10.324341394139408,10.626230533053286,4.532815191519159,4.422037243724364,4.19884379437944,4.258302470247027
57,23.75618712871286,19.787753775377535,18.345610401040105,17.633711211121117,11.992478247824767,10.75040688068807,10.614374997499759,10.070786588658862,4.6608119911991235,4.3381246524652495,4.2008165216521896,4.237257635763593
58,23.912023512351286,19.74720288028803,18.110261416141626,18.05353299329933,11.97559146914694,10.878590649064908,10.424045914591478,10.374219461946174,4.721871187118725,4.321530943094316,4.108692109210914,4.16425978597861
59,24.916485398539855,20.375979637963855,18.13046228622869,18.339048264826502,12.623341974197414,11.045148264826492,10.385691329132923,10.414285178517867,4.796728062806285,4.548633653365339,4.231834543454342,4.317556865686563
60,24.85855209520957,20.100837993799374,18.505894899489938,18.12997699769976,12.588487558755881,10.986516401640165,10.686849394939516,10.180243214321452,4.815551545154517,4.347063466346649,4.184617461746176,4.309309320932094
61,24.915939103910365,20.45195294529449,18.456820682068173,17.925592519251946,12.497887778777883,11.080409630963091,10.568314821482147,10.227680278027792,4.8904696869687,4.449912031203108,4.261582148214789,4.234293179317934
62,25.212660106010585,20.93732349234921,18.50636963696368,18.198081318131813,12.752808790879074,11.39848060806083,10.48297604760474,10.21709369936995,4.986205410541051,4.49701574157416,4.306330383038305,4.388717231723166
63,25.086103170317013,20.464821482148277,18.69464030403052,17.4832106810681,12.518889928992884,11.121278517851747,10.52657040704068,9.918935643564376,4.898393799379939,4.470215411541164,4.4444772377237936,4.185085618561854
64,24.89694744474452,20.827284638463833,18.284705180518127,17.602911651165083,12.42589817981802,11.2513193719372,10.218820922092213,9.923035463546356,4.924673107310733,4.535264236423638,4.265228832883279,4.2169797379737926
65,25.016579167916717,21.063212711271138,18.297853785378546,18.11937337733777,12.36753994399444,11.350759785978603,10.474420202020221,10.254720662066218,4.940798039803981,4.645446904690478,4.275617921792176,4.220391549154914
66,25.135300690069094,21.05502181218122,18.119771727172726,17.951883578357847,12.76463621362136,11.508652375237514,10.28894565456547,10.33737004700469,4.83356206620664,4.627262366236614,4.315303840384051,4.203296969696971
67,25.337369576957748,21.067630603060294,18.472206970697073,17.860524442444245,12.75639227922801,11.509036943694392,10.513385328532857,10.391598159815963,4.962180218021798,4.60632139213925,4.341289768976908,4.222169406940698
68,25.588738033803402,21.384825192519237,18.421195629562938,18.486400480048015,12.816755185518518,11.61372912291229,10.38074363436343,10.72945658565856,4.975595309530943,4.600407400740061,4.268675257525746,4.341786138613851
69,25.61695033503355,20.762539363936487,18.228142774277387,17.929577667766807,12.89156794679468,11.474041154115483,10.245097219721965,10.29177633763376,4.914621212121194,4.467898149814946,4.362880038003803,4.208870637063694
70,25.339873027302765,21.172032363236326,18.278682228222838,18.68050956095611,12.814375187518769,11.542444554455427,10.418799069907024,10.650998209820987,4.926259415941587,4.536331383138353,4.345386528652899,4.377481748174839
